familyid,CT00
000105848438,535300
000106546598,535300
000106326589,242700
000105823293,534900
000105990321,534900
000106108865,534900
000106052813,534900
000106589895,534900
000033519808,534900
000106125298,534900
000106635033,534900
000011686315,534900
000105880522,534900
000106617086,571501
000106529571,535101
000106458729,234300
000105790298,191000
000106300615,232400
000106071905,535101
000106307926,238100
000105885860,207100
000034855732,532800
000106561445,532800
000106146654,206050
000106362410,532800
000106306323,532800
000106459814,532500
000061699705,532800
000004172611,532800
000105868990,532800
000106320075,532800
000106494391,532800
000105840493,532800
000106501359,237200
000106124967,532800
000105934975,532800
000106437876,532800
000105777110,532800
000106617722,532800
000106636212,551000
000106233969,532800
000106630185,532800
000106165526,532800
000105849714,532800
000106301195,532700
000106098710,532800
000106058733,532800
000106275480,532800
000080068412,551900
000106433115,238200
000106417725,550200
000106674975,532800
000106568536,532800
000106613804,532700
000106293348,554202
000106297274,532800
000106329532,533702
000105795345,532800
000106547206,532800
000106361118,239200
000106304965,532700
000106383130,532700
000106385491,532700
000106366752,239200
000106631893,532900
000106017763,532800
000106615246,532900
000106320693,532800
000039222821,533000
000106386206,532700
000106233972,532700
000010560092,533000
000105991220,408002
000106296419,532700
000105847487,408401
000106301844,532700
000106432211,532700
000106435895,532700
000106473118,534700
000088110588,532700
000106140682,237400
000106233477,532900
000106012522,532900
000106496851,532900
000106432368,532900
000105869828,532900
000106568028,532700
000106490452,532700
000105804541,532700
000106279882,532900
000106299056,532900
000091794703,532900
000028641544,532900
000106349081,532900
000106349214,532900
000105915113,533000
000028718570,533000
000106635627,533000
000106584594,533000
000105828280,239330
000106630143,532900
000106677334,532900
000106099818,532900
000105931516,532900
000106105142,532900
000106674742,533000
000105970856,532900
000106095542,532900
000106015931,532900
000106478427,532900
000106582490,532900
000105796655,532900
000106120426,532900
000106165107,533000
000105996864,533000
000106076992,533000
000105887430,533000
000106323023,533106
000105792499,533000
000106639574,533000
000106270003,533000
000106478498,532900
000106453274,532900
000106071939,532900
000106079602,533104
000106059491,532900
000105934289,532900
000106074270,532900
000106219534,532900
000106303883,532700
000106128267,534700
000105828285,533000
000106304258,240700
000105791710,239330
000059198132,533000
000105794611,533000
000106120714,533000
000105861396,533000
000105866029,533000
000105913983,533000
000106291435,533000
000106013701,533000
000106309698,533000
000106300694,533000
000105843687,533000
000106256021,532900
000106453041,532900
000078146120,532900
000106077126,532900
000105822938,532900
000105958180,535200
000106219194,532900
000106436464,533000
000106419528,533000
000099597076,533000
000106656389,533000
000105820981,533000
000106321814,407200
000106298864,533000
000105863084,532900
000106691324,551000
000106236263,532900
000106107186,532900
000106348307,206010
000105953907,532900
000106657770,532900
000105994647,532900
000078653530,532900
000105808362,239800
000106437334,532900
000105829676,552000
000106306750,533000
000106254702,533000
000106382951,533103
000106346478,533000
000039536341,532900
000106211829,532900
000105861309,532900
000105796736,542401
000106168100,532900
000105803579,535101
000106277364,535200
000106416774,535101
000106503084,535300
000106299336,535300
000105629030,540201
000106105919,535300
000106256686,239800
000106070394,239800
000106430382,239800
000105622177,239800
000106546072,535101
000105823002,239800
000106120175,239800
000106612997,534502
000106451379,600802
000106616093,239800
000106691073,239800
000041129096,239800
000106015863,532900
000106058712,239800
000106147082,239800
000106678157,239800
000105956777,239800
000106656703,239800
000105802688,239800
000106237604,535101
000106415574,535101
000106632933,535101
000105950991,535101
000106491953,503802
000106528800,541200
000091888751,535101
000106611247,535102
000106437059,535101
000106653373,535101
000106569037,535300
000106308692,239800
000106078952,239800
000105809787,239800
000106430099,239800
